weekday,date,schedule,note
Sun,2016-08-28,,
M,2016-08-29,A,
T,2016-08-30,B,
W,2016-08-31,Flex A,
R,2016-09-01,Flex B,
F,2016-09-02,A,
Sat,2016-09-03,,
Sun,2016-09-04,,
M,2016-09-05,,Holiday
T,2016-09-06,B,
W,2016-09-07,A,
R,2016-09-08,B,
F,2016-09-09,A,
Sat,2016-09-10,,
Sun,2016-09-11,,
M,2016-09-12,B,
T,2016-09-13,A,
W,2016-09-14,B,
R,2016-09-15,Flex A,
F,2016-09-16,Flex B,
Sat,2016-09-17,,
Sun,2016-09-18,,
M,2016-09-19,A,
T,2016-09-20,B,
W,2016-09-21,Early Dismissal A,
R,2016-09-22,Flex B,
F,2016-09-23,Flex A,
Sat,2016-09-24,,
Sun,2016-09-25,,
M,2016-09-26,B,
T,2016-09-27,A,
W,2016-09-28,B,
R,2016-09-29,Flex A,
F,2016-09-30,Flex B,
Sat,2016-10-01,,
Sun,2016-10-02,,
M,2016-10-03,A,
T,2016-10-04,B,
W,2016-10-05,Flex A,
R,2016-10-06,Flex B,
F,2016-10-07,A,
Sat,2016-10-08,,
Sun,2016-10-09,,
M,2016-10-10,B,
T,2016-10-11,A,
W,2016-10-12,B,
R,2016-10-13,A,
F,2016-10-14,,Inservice
Sat,2016-10-15,,
Sun,2016-10-16,,
M,2016-10-17,B,
T,2016-10-18,A,
W,2016-10-19,Early Dismissal B,
R,2016-10-20,Flex A,
F,2016-10-21,Flex B,
Sat,2016-10-22,,
Sun,2016-10-23,,
M,2016-10-24,A,
T,2016-10-25,B,
W,2016-10-26,Flex A,
R,2016-10-27,Race Forward B,
F,2016-10-28,A,
Sat,2016-10-29,,
Sun,2016-10-30,,
M,2016-10-31,B,
T,2016-11-01,A,
W,2016-11-02,B,
R,2016-11-03,A,
F,2016-11-04,,Teacher Planning
Sat,2016-11-05,,
Sun,2016-11-06,,
M,2016-11-07,B,
T,2016-11-08,A,
W,2016-11-09,,Conferences
R,2016-11-10,,Conferences
F,2016-11-11,,Holiday
Sat,2016-11-12,,
Sun,2016-11-13,,
M,2016-11-14,B,
T,2016-11-15,A,
W,2016-11-16,B,
R,2016-11-17,Flex A,
F,2016-11-18,Flex B,
Sat,2016-11-19,,
Sun,2016-11-20,,
M,2016-11-21,A,
T,2016-11-22,B,
W,2016-11-23,,Conferences
R,2016-11-24,,Holiday
F,2016-11-25,,Holiday
Sat,2016-11-26,,
Sun,2016-11-27,,
M,2016-11-28,A,
T,2016-11-29,B,
W,2016-11-30,Flex A,
R,2016-12-01,Flex B,
F,2016-12-02,A,
Sat,2016-12-03,,
Sun,2016-12-04,,
M,2016-12-05,B,
T,2016-12-06,A,
W,2016-12-07,B,
R,2016-12-08,Flex A,
F,2016-12-09,Flex B,
Sat,2016-12-10,,
Sun,2016-12-11,,
M,2016-12-12,A,
T,2016-12-13,B,
W,2016-12-14,Flex A,
R,2016-12-15,Flex B,
F,2016-12-16,A,
Sat,2016-12-17,,
Sun,2016-12-18,,
M,2016-12-19,,Holiday
T,2016-12-20,,Holiday
W,2016-12-21,,Holiday
R,2016-12-22,,Holiday
F,2016-12-23,,Holiday
Sat,2016-12-24,,
Sun,2016-12-25,,
M,2016-12-26,,Holiday
T,2016-12-27,,Holiday
W,2016-12-28,,Holiday
R,2016-12-29,,Holiday
F,2016-12-30,,Holiday
Sat,2016-12-31,,
Sun,2017-01-01,,
M,2017-01-02,,Holiday
T,2017-01-03,B,
W,2017-01-04,A,
R,2017-01-05,B,
F,2017-01-06,A,
Sat,2017-01-07,,
Sun,2017-01-08,,
M,2017-01-09,B,
T,2017-01-10,A,
W,2017-01-11,B,
R,2017-01-12,Flex A,
F,2017-01-13,Flex B,
Sat,2017-01-14,,
Sun,2017-01-15,,
M,2017-01-16,,Holiday
T,2017-01-17,A,
W,2017-01-18,B,
R,2017-01-19,A,
F,2017-01-20,B,
Sat,2017-01-21,,
Sun,2017-01-22,,
M,2017-01-23,A,
T,2017-01-24,Finals,
W,2017-01-25,Finals,
R,2017-01-26,Finals,
F,2017-01-27,,Holiday
Sat,2017-01-28,,
Sun,2017-01-29,,
M,2017-01-30,A,
T,2017-01-31,B,
W,2017-02-01,Flex A,
R,2017-02-02,Flex B,
F,2017-02-03,A,
Sat,2017-02-04,,
Sun,2017-02-05,,
M,2017-02-06,B,
T,2017-02-07,A,
W,2017-02-08,B,
R,2017-02-09,Flex A,
F,2017-02-10,Flex B,
Sat,2017-02-11,,
Sun,2017-02-12,,
M,2017-02-13,A,
T,2017-02-14,B,
W,2017-02-15,Early Dismissal A,
R,2017-02-16,Flex B,
